O=C(O)c1ccc(C(=O)O)cc1
NCc1ccccc1
OCc1ccccc1
COc1ccccc1
CC(C)(O)Cc1ccccc1
O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ba+2]
ClSSCl
Cl[Si](Cl)Cl
O=P(Cl)(Cl)Cl
ClP(Cl)(Cl)(Cl)Cl
NC1CCCC1
CCCC1CO1
OB(O)O
[O-][Cl+][O-]
C[Si]1(C)N[Si](C)(C)N[Si](C)(C)N1
c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1
C=CCOc1nc(OCC=C)nc(OCC=C)n1
CN(C)C(=O)Nc1ccccc1
C=C(C)C(=O)OC1CCCCC1
O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1
O=P1([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O1.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+]
O=P([O-])([O-])F.[Na+].[Na+]
O=C(CS)OCC(COC(=O)CS)(COC(=O)CS)COC(=O)CS
O=C=Nc1ccc(Cl)c(Cl)c1
CC(=O)OCC(COC(C)=O)OC(C)=O
CCCCN(CCCC)CCCC
O=[Cr](=O)([O-])[O-].[Ba+2]
O=S([O-])([O-])=S.[K+].[K+]
CC(C)(O)CCc1ccccc1
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC
O=C=Nc1ccccc1
O=C(O)Cc1ccccc1
CC(O)C(=O)O
[Ba+2].[Cl-].[Cl-]
CCCCC(CC)CN
CCCCC(CC)CO
O=Cc1ccc(Cl)cc1
CCc1ccc(C)nc1
COc1ccc(C)cc1
CCC1=NCCO1
CCc1ccc(CC)cc1
C=C(C)C(=O)OCCN(CC)CC
C=COC(=O)CC
COC(=O)CC(C)=O
O=C1CCCCCN1
CCCCOC(=O)/C=C\C(=O)OCCCC
CN(CCCN)CCCN
CN(C(=S)SSC(=S)N(C)c1ccccc1)c1ccccc1
CCCCC(CC)CNCC(CC)CCCC
Clc1ccc(Cl)cc1
Nc1ccc(N)cc1
C=CC(=O)OCC(C)C
OCCCCC(O)CO
CCCBr
C=CCBr
COC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C#N.C[O-].Cc1c(N)cccc1N.[Na+]
COC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C#N.C[O-].Nc1ccc(N)cc1.[Na+]
CCC[Si](OC)(OC)OC
ClCCCl
CCCN
CCC#N
C=CCO
C#CCO
O=CCCl
O=CC=O
COC=O
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
CC(C)(C)OC(=O)CCl
CC(=O)OOC(C)(C)C
CC(C)CCN
CC(C)=CC=O
O=C(O)CCS
CC(=O)CC(C)C
CC(C)CC(C)O
CC(C)NC(C)C
C=C(C)OC(C)=O
Nc1cccc(N)c1
CCCCCCC(C)OC(=O)CCCCC(=O)OC(C)CCCCCC
Clc1nc(Cl)nc(Cl)n1
Nc1nc(N)nc(N)n1
O=c1[nH]c(=O)[nH]c(=O)[nH]1
CC(C)CC(=O)CC(C)C
Cc1ccccc1
Clc1ccccc1
OC1CCCCC1
Cc1ccccn1
CC(C)C(=O)OOC(C)(C)C
CN(C)CCCN
CCCCCl
CCCCN
COCOC
C[O-].C[O-].[Mg+2]
CCOC=O
O=C(O)/C=C/C(=O)O
CC(=O)OCC(C)C
CCCCCC(C)=O
N#CCCC#N
CCCCC=O
OCCCCO
OCC#CCO
CCOCCO
C1CCCCC1
C1=COCCC1
C1OCOCO1
C1CCNCC1
C[NH+](C)CCC[NH+](C)C
CCO[Si](OCC)(OCC)OCC
CCCCCCC(=O)O
O=C(O)CCSCCC(=O)O
CN(C)CCCCCCN(C)C
CCCCCCN
O=CCCCC=O
C=COCCCC
CCCCN=C=O
CC(=O)OCCOC(C)=O
CCCCCCCC(=O)Cl
CCCCCCCC
C=CCCCCCCCCC(=O)OC
CCCCCCCCC
CCCCCCCCN
CCCCCCCCS
NC(=O)[O-].O.[NH4+]
CO[Si](C)(C)OC
O=[W](=O)([O-])[O-].[NH4+].[NH4+]
[B].[B].[K+].[K+].[O-2]
O.[Al].[Mg]
CO[Si](CC(C)C)(OC)C(C)C
CCCCCCC(O)CO
COC(=O)CCCC(=O)OC
CCCCCCCCC(=O)O
CCCCCCCCCCCC
CCCCCCCCCCCO
CCCCCCCCCCCCO
CCCCCCCCCCCCCCCCCCCC
CCCCCCCCCCC
O=Cc1ccccn1
CCCCC(CC)CN1C(=O)C2C3C=CC(C3)C2C1=O
C=CC(C)(C)O
C#CC(C)(C)O
OCC(CO)(CO)CO
CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC
O=c1[nH]c2ccccc2c(=O)o1
O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl
Oc1c(Br)cc(Br)cc1Br
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-]
COC(=O)c1ccccc1O
COc1ccc(CCN)cc1OC
Oc1ccc(Cl)cc1Cc1ccccc1
O=C1CCCC1
CN1CCCC1
[Al+3].[O-2].[O-2].[O-2].[Y+3]
[Na+].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-]
[Fe+3].[P-3]
N12[Si]34N5[Si]16N3[Si]25N46
S=S=[Ni][Ni][Ni]
O=[Sn]([O-])[O-].[Zn+2]
O.O=S(=O)(O)O.[Pb]
O=C(Cl)c1ccc2c(c1)C(=O)OC2=O
[C-]#[W]
Cc1ccc([N+](=O)[O-])cc1Cl
O=C(O)c1cccc(C(=O)O)c1
C[c-]1cccc1.[C-]#[O+].[C-]#[O+].[C-]#[O+].[Mn]
[Br-].[NH4+]
[SiH2]=[Mo]=[SiH2]
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)c(Cl)c1F
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1
O=S(=O)([O-])[O-].O=[Pb].O=[Pb].O=[Pb].[Pb+2]
CCN(CCO)c1ccc(N=Nc2sc3cc(OC)ccc3[n+]2C)cc1.COS(=O)(=O)[O-]
[Al+3].[Bi+3].[O-2].[O-2].[O-2]
CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-]
CCCCC(C=O)CC
CCCC(C)C=O
Nc1ccc(O)cc1
CCC=O
CNC=O
CC(=O)CC(C)=O
CCCC=O
C1CCNC1.[Cl-].[H+]
NC(=O)N=NC(N)=O
CCCCOC(C)=O
CC1=NNC(=O)N(/N=C/c2cccnc2)C1
O=S(=O)([O-])[O-].[Cr+3].[OH-]
CCCCCCCCCC
CS(=O)(=O)Cl
CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1
O=[Mo](=O)([O-])[O-].O=[Mo](=O)([O-])[O-].[NH4+].[NH4+].[NH4+].[NH4+]
Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1
CCCCCCCCCCCCCCCCCC(=O)O[Pb]O[Pb]O[Pb]OC(=O)CCCCCCCCCCCCCCCCC
OCC(CO)(CO)COCC(CO)(CO)CO
CC(C)COP(=O)(OCC(C)C)OCC(C)C
CCCCOP(=O)(OCCCC)OCCCC
NCCO.O=C(O)CS
S.[Mo]
CC(=O)[O-].[K+]
CC(=O)[O-].[Na+]
CC(=O)N(C)C
Cc1ccc(S(=O)(=O)[N-]Cl)cc1.[Na+]
O=[N+]([O-])c1cccc(S(=O)(=O)[O-])c1.[Na+]
O=C1OC(=O)c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)C(=O)OC5=O
CC(C)c1nn(C(=O)NC(C)(C)C)c(=O)n1N
O=C1C=CC(=O)c2ccccc21
O=[Al][O-].O=[Al][O-].[Mg+2]
O=BOB=O
CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)[O-].CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)[O-].[Zn+2]
[Ca+2].[OH-].[OH-]
O=[Ca]
[Cd]=[Te]
O=[Ce]=O
O=[Cr]O[Cr]=O
[Mg+2].[OH-].[OH-]
O=P([O-])([O-])O.[Mg+2]
O=[Ge]=O
[Li+].[OH-]
[In+3].[In+3].[O-2].[O-2].[O-2]
O=[Mo](=O)=O
O=[Nb](=O)O[Nb](=O)=O
O=[Ni]
O=[Zn]
O=[W](=O)=O
[O-2].[O-2].[O-2].[Yb+3].[Yb+3]
O1[Pb]O[Pb]2O[Pb]1O2
O=[Sb](=O)O[Sb](=O)=O
O=[V](=O)O[V](=O)=O
S=[SnH2]
O=[Pb]
COC(C(F)(F)F)C(F)(F)F
O=S(=O)(O)c1ccccc1N=C1C=CC(=C(c2ccc(Nc3ccccc3)cc2)c2ccc(Nc3ccccc3)cc2)C=C1
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl
CN(C)S(=O)(=O)Cl
CCCCNCC
CCC(C)(OO)OOC(C)(CC)OO
CNC(C)C(O)c1ccccc1.[Cl-].[H+]
O=[Se](=O)([O-])[O-].[Na+].[Na+]
O=[Mn]
O=[Si]([O-])[O-].[Ca+2]
S.[Sb]
O=[W](=O)([O-])[O-].[Na+].[Na+]
CC(CC(C)(C)C)CC(C)(C)C
[Te]
CCOC(=O)C1CCC(C)CC1=O
O[Si](O)(O)O.[Zn].[Zn]
CCOC(=O)CC(NC1CCC(CC2CCC(NC(CC(=O)OCC)C(=O)OCC)C(C)C2)CC1C)C(=O)OCC
CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl
O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl
CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Zn+2]
CNC(=S)[S-].[Na+]
[Ba+2].[O-][B][O-]
O=[V](=O)[O-].[Na+]
O=[Se]([O-])[O-].[Ba+2]
O=[V](=O)[O-].[K+]
C=CN1CCN(C=C)C1=O
O=[Si]([O-])O[Si](=O)[O-].[Na+].[Na+]
CC(C)C(C)(N)C#N
CCCCN(CCCC)C(=S)[S-].CCCCN(CCCC)C(=S)[S-].[Ni+2]
CCC(C)N
C=CC(=O)OCC
CCOC(=S)[S-].[Na+]
CC(=O)[CH-]C(C)=O.CC(=O)[CH-]C(C)=O.[Zn+2]
